k,version,i,j,iName,jName,stimtag,iSex,jSex,nullType,stimNum
1,1,1,3, Megan, Anthony, nul2,1,0,0,3
1,2,3,1, Anthony, Megan, nul2,0,1,0,3
2,1,1,4, Megan, Nicholas, nul2,1,0,0,3
2,2,4,1, Nicholas, Megan, nul2,0,1,0,3
3,1,1,6, Megan, Lauren, nul2,1,1,0,3
3,2,6,1, Lauren, Megan, nul2,1,1,0,3
4,1,1,7, Megan, John, nul2,1,0,0,3
4,2,7,1, John, Megan, nul2,0,1,0,3
5,1,2,5, Brittany, Joseph, nul2,1,0,0,3
5,2,5,2, Joseph, Brittany, nul2,0,1,0,3
6,1,2,6, Brittany, Lauren, nul2,1,1,0,3
6,2,6,2, Lauren, Brittany, nul2,1,1,0,3
7,1,2,7, Brittany, John, nul2,1,0,0,3
7,2,7,2, John, Brittany, nul2,0,1,0,3
8,1,3,4, Anthony, Nicholas, nul2,0,0,0,3
8,2,4,3, Nicholas, Anthony, nul2,0,0,0,3
9,1,3,5, Anthony, Joseph, nul2,0,0,0,3
9,2,5,3, Joseph, Anthony, nul2,0,0,0,3
10,1,3,6, Anthony, Lauren, nul2,0,1,0,3
10,2,6,3, Lauren, Anthony, nul2,1,0,0,3
11,1,4,5, Nicholas, Joseph, nul2,0,0,0,3
11,2,5,4, Joseph, Nicholas, nul2,0,0,0,3
12,1,4,7, Nicholas, John, nul2,0,0,0,3
12,2,7,4, John, Nicholas, nul2,0,0,0,3
13,1,5,7, Joseph, John, nul2,0,0,0,3
13,2,7,5, John, Joseph, nul2,0,0,0,3
