k,version,i,j,iName,jName,stimtag,iSex,jSex,nullType,stimNum
1,1,1,2, Brianna, Michael, net2,1,0,0,1
1,2,2,1, Michael, Brianna, net2,0,1,0,1
2,1,1,5, Brianna, Jennifer, net2,1,1,0,1
2,2,5,1, Jennifer, Brianna, net2,1,1,0,1
3,1,2,3, Michael, Alexis, net2,0,1,0,1
3,2,3,2, Alexis, Michael, net2,1,0,0,1
4,1,2,4, Michael, Zachary, net2,0,0,0,1
4,2,4,2, Zachary, Michael, net2,0,0,0,1
5,1,3,7, Alexis, Brandon, net2,1,0,0,1
5,2,7,3, Brandon, Alexis, net2,0,1,0,1
6,1,4,6, Zachary, Hannah, net2,0,1,0,1
6,2,6,4, Hannah, Zachary, net2,1,0,0,1
7,1,5,6, Jennifer, Hannah, net2,1,1,0,1
7,2,6,5, Hannah, Jennifer, net2,1,1,0,1
8,1,6,7, Hannah, Brandon, net2,1,0,0,1
8,2,7,6, Brandon, Hannah, net2,0,1,0,1
